Complexity,Agent_Config,Agent_Count,File,Mission_Success_Rate_Percent,Final_Victims_Rescued,Simulation_Duration_Steps,Total_Events,Event_Types_Summary
MediumMap,FiveAgents,Five,scenario_json_outputs-60b6b4b5-8496-4947-9d6a-f59e525c2cb4.json,100.0,34,971,1687,ask:956; move:635; load:29; communicate:39; search:4; place:7; examine:3; pick up:2; treat:2; check:1; parsed_response_generic:6; wait:1; explore:2
MediumMap,FiveAgents,Five,scenario_json_outputs-5f06b5af-dbf0-4ec1-9572-9680a6bca94f.json,100.0,34,1022,1704,ask:905; move:667; load:30; search:10; communicate:58; parsed_response_generic:17; pick up:1; examine:4; treat:2; place:6; check:1; unknown:2; approach:1
MediumMap,FiveAgents,Five,scenario_json_outputs-30377223-3c3c-41a0-8913-5b2fcd857841.json,100.0,34,993,1691,ask:936; parsed_response_generic:12; move:658; load:31; communicate:29; pick up:2; unknown:1; search:9; check:2; place:2; treat:3; examine:4; approach:1; follow:1
MediumMap,FourAgents,Four,scenario_json_outputs-3fbd568d-a9c0-4e2e-b186-ea82488c8291.json,100.0,34,1214,1568,ask:835; move:634; examine:5; communicate:32; pick up:7; load:27; parsed_response_generic:9; place:4; search:8; plan:1; unknown:1; treat:2; check:2; head:1
MediumMap,FourAgents,Four,scenario_json_outputs-292322a5-f98b-4b0b-acb6-a38a174889ab.json,100.0,34,1170,1653,ask:883; move:666; approach:1; examine:3; check:3; load:29; communicate:36; search:6; pick up:5; parsed_response_generic:10; use:1; treat:4; place:3; unknown:1; assist:1; explore:1
MediumMap,FourAgents,Four,scenario_json_outputs-1aab8ef3-24c2-445c-99fd-9fba24b39ffb.json,100.0,34,1170,1529,ask:802; move:641; load:29; communicate:29; pick up:3; parsed_response_generic:14; check:2; approach:1; unknown:1; treat:1; search:3; examine:1; place:1; explore:1
MediumMap,ThreeAgents,Three,scenario_json_outputs-4e7d3bdf-40ec-4df4-a9ec-c696b05a3d69.json,100.0,34,1624,1626,ask:847; move:697; load:28; communicate:24; check:2; place:6; parsed_response_generic:7; unknown:5; go:1; search:4; wait:1; pick up:3; examine:1
MediumMap,ThreeAgents,Three,scenario_json_outputs-ee84e533-fa74-4140-924c-8f74b6fd93fc.json,100.0,34,1618,1651,ask:896; move:677; communicate:21; place:6; load:28; search:7; examine:3; unknown:2; parsed_response_generic:6; assist:1; treat:1; check:1; approach:1; exit:1
MediumMap,ThreeAgents,Three,scenario_json_outputs-df396ca6-f43b-4a6e-92f6-75bc0d8dcdcf.json,100.0,34,1511,1566,ask:783; move:654; load:31; communicate:61; unknown:3; parsed_response_generic:12; check:4; use:1; place:3; search:8; treat:1; exit:3; go:1; follow:1
MediumMap,TwoAgents,Two,scenario_json_outputs-a795dbec-c003-4539-b93f-01c2178be773.json,94.12,32,2006,1395,parsed_response_generic:5; ask:700; move:618; place:9; communicate:29; load:25; search:1; examine:1; unknown:5; proceed:1; check:1
MediumMap,TwoAgents,Two,scenario_json_outputs-82ab9318-e6fb-4ace-9dc4-b961bac41e03.json,94.12,32,2002,1432,ask:765; move:587; load:26; communicate:31; check:1; place:6; pick up:3; treat:3; parsed_response_generic:5; search:1; examine:3; approach:1
MediumMap,TwoAgents,Two,scenario_json_outputs-5b3330ed-4352-4812-8cf3-cb33ffb9b4ef.json,97.06,33,2008,1315,ask:664; move:566; load:27; communicate:29; pick up:6; unknown:5; place:6; treat:1; search:3; check:1; parsed_response_generic:3; examine:3; explore:1
